#ID  stellarM_bestfit  stellarM_median  stellarM_CL68min  stellarM_CL68max  EWhb_bestfit  EWhb_median  EWhb_CL68min  EWhb_CL68max  EWoiii4959_bestfit  EWoiii4959_median  EWoiii4959_CL68min  EWoiii4959_CL68max  EWoiii5007_bestfit  EWoiii5007_median  EWoiii5007_CL68min  EWoiii5007_CL68max
 5.0155e+04  2.591e+07  5.626e+07  2.064e+07  2.044e+08  6.060e+02  2.473e+02  1.135e+02  4.870e+02  6.255e+00  1.276e+02  9.521e+00  4.654e+02  1.913e+01  3.938e+02  2.930e+01  1.433e+03
 5.0157e+04  6.185e+06  3.737e+07  1.072e+07  1.627e+08  4.133e+02  2.056e+02  8.991e+01  4.404e+02  6.052e+02  1.420e+02  1.158e+01  4.986e+02  1.843e+03  4.402e+02  3.567e+01  1.536e+03
 5.0158e+04  2.404e+07  5.650e+07  1.604e+07  2.471e+08  5.940e+02  1.970e+02  8.822e+01  4.284e+02  6.140e+00  1.309e+02  1.048e+01  4.515e+02  1.879e+01  4.055e+02  3.226e+01  1.393e+03
 5.0159e+04  8.927e+06  4.012e+07  1.305e+07  1.647e+08  6.438e+02  2.235e+02  1.049e+02  4.624e+02  2.485e+01  1.110e+02  8.369e+00  4.164e+02  7.589e+01  3.436e+02  2.578e+01  1.286e+03
 5.0161e+04  2.035e+07  7.308e+07  2.775e+07  2.511e+08  4.135e+02  2.487e+02  1.160e+02  4.816e+02  5.690e+02  1.552e+02  1.126e+01  5.093e+02  1.732e+03  4.805e+02  3.461e+01  1.568e+03
 5.0164e+04  3.207e+07  9.589e+07  3.622e+07  4.186e+08  4.809e+02  2.159e+02  1.047e+02  4.235e+02  1.485e+03  2.438e+02  3.289e+01  6.356e+02  4.545e+03  7.539e+02  1.018e+02  1.952e+03
 5.0169e+04  1.517e+08  1.970e+08  7.592e+07  6.054e+08  4.227e+02  2.458e+02  1.080e+02  4.850e+02  9.150e+00  4.740e+01  6.102e+00  2.281e+02  2.814e+01  1.466e+02  1.886e+01  7.053e+02
 6.0282e+04  1.031e+07  4.762e+07  1.508e+07  1.885e+08  4.123e+02  2.292e+02  1.020e+02  4.644e+02  6.242e+02  1.629e+02  1.251e+01  5.504e+02  1.920e+03  5.049e+02  3.856e+01  1.694e+03
 6.0283e+04  1.832e+08  2.891e+08  1.399e+08  8.702e+08  1.331e+02  1.824e+02  8.635e+01  3.742e+02  3.576e+02  1.228e+02  8.723e+00  3.667e+02  1.121e+03  3.811e+02  2.688e+01  1.136e+03
 6.0290e+04  6.506e+07  1.200e+08  6.555e+07  2.729e+08  5.896e+02  2.879e+02  1.878e+02  5.160e+02  5.897e+00  1.077e+01  4.980e+00  1.080e+02  1.802e+01  3.299e+01  1.538e+01  3.339e+02
 6.0292e+04  1.415e+07  8.158e+07  2.567e+07  3.316e+08  4.566e+02  1.962e+02  9.726e+01  3.945e+02  4.376e+00  1.218e+02  7.825e+00  4.031e+02  1.341e+01  3.776e+02  2.413e+01  1.243e+03
 6.0293e+04  1.788e+08  3.419e+08  9.043e+07  1.157e+09  2.362e+02  1.685e+02  8.875e+01  3.219e+02  4.940e+02  1.897e+02  2.668e+01  4.650e+02  1.519e+03  5.883e+02  8.260e+01  1.433e+03
